keyword,year,value,index
Gay,2016,0,0
Gay,2017,0,0
Gay,2018,6,7.0588235294117645
Gay,2019,64,75.29411764705883
Gay,2020,17,20
Gay,2021,0,0
Gay,2022,0,0
Gay,2023,0,0
Gay,2024,85,100
Gay,2025,0,0
Gay Pride,2016,0,0
Gay Pride,2017,0,0
Gay Pride,2018,357,34.293948126801155
Gay Pride,2019,632,60.71085494716618
Gay Pride,2020,130,12.487992315081652
Gay Pride,2021,226,21.709894332372716
Gay Pride,2022,1041,100
Gay Pride,2023,588,56.48414985590778
Gay Pride,2024,150,14.409221902017292
Gay Pride,2025,44,4.226705091258405
Gay Pride Items,2016,0,0
Gay Pride Items,2017,0,0
Gay Pride Items,2018,90,50.847457627118644
Gay Pride Items,2019,0,0
Gay Pride Items,2020,0,0
Gay Pride Items,2021,0,0
Gay Pride Items,2022,0,0
Gay Pride Items,2023,177,100
Gay Pride Items,2024,0,0
Gay Pride Items,2025,0,0
Lgbt,2016,0,0
Lgbt,2017,0,0
Lgbt,2018,48,77.41935483870968
Lgbt,2019,6,9.67741935483871
Lgbt,2020,0,0
Lgbt,2021,0,0
Lgbt,2022,0,0
Lgbt,2023,62,100
Lgbt,2024,0,0
Lgbt,2025,0,0
Lgbt Rainbow Pride Hand Folding Fan,2016,0,0
Lgbt Rainbow Pride Hand Folding Fan,2017,0,0
Lgbt Rainbow Pride Hand Folding Fan,2018,0,0
Lgbt Rainbow Pride Hand Folding Fan,2019,0,0
Lgbt Rainbow Pride Hand Folding Fan,2020,0,0
Lgbt Rainbow Pride Hand Folding Fan,2021,0,0
Lgbt Rainbow Pride Hand Folding Fan,2022,0,0
Lgbt Rainbow Pride Hand Folding Fan,2023,0,0
Lgbt Rainbow Pride Hand Folding Fan,2024,0,0
Lgbt Rainbow Pride Hand Folding Fan,2025,36,100
Lgbtq,2016,0,0
Lgbtq,2017,0,0
Lgbtq,2018,0,0
Lgbtq,2019,5,3.5971223021582732
Lgbtq,2020,0,0
Lgbtq,2021,139,100
Lgbtq,2022,53,38.1294964028777
Lgbtq,2023,46,33.093525179856115
Lgbtq,2024,106,76.2589928057554
Lgbtq,2025,36,25.899280575539567
Lgbtq Lapel Pin,2016,0,0
Lgbtq Lapel Pin,2017,0,0
Lgbtq Lapel Pin,2018,0,0
Lgbtq Lapel Pin,2019,0,0
Lgbtq Lapel Pin,2020,0,0
Lgbtq Lapel Pin,2021,0,0
Lgbtq Lapel Pin,2022,0,0
Lgbtq Lapel Pin,2023,129,100
Lgbtq Lapel Pin,2024,0,0
Lgbtq Lapel Pin,2025,0,0
Pride,2016,0,0
Pride,2017,0,0
Pride,2018,127,2.4985244934094037
Pride,2019,1747,34.369466850285264
Pride,2020,608,11.96144009443242
Pride,2021,2509,49.36061381074169
Pride,2022,3925,77.21817824119614
Pride,2023,5083,100
Pride,2024,3820,75.1524690143616
Pride,2025,2694,53.00019673421208
Pride Bandana,2016,0,0
Pride Bandana,2017,0,0
Pride Bandana,2018,0,0
Pride Bandana,2019,0,0
Pride Bandana,2020,6,2.380952380952381
Pride Bandana,2021,0,0
Pride Bandana,2022,252,100
Pride Bandana,2023,99,39.285714285714285
Pride Bandana,2024,41,16.26984126984127
Pride Bandana,2025,0,0
Pride Bites,2016,0,NA
Pride Bites,2017,0,NA
Pride Bites,2018,0,NA
Pride Bites,2019,0,NA
Pride Bites,2020,0,NA
Pride Bites,2021,0,NA
Pride Bites,2022,0,NA
Pride Bites,2023,0,NA
Pride Bites,2024,0,NA
Pride Bites,2025,0,NA
Pride Celebration Fan,2016,0,0
Pride Celebration Fan,2017,0,0
Pride Celebration Fan,2018,0,0
Pride Celebration Fan,2019,0,0
Pride Celebration Fan,2020,0,0
Pride Celebration Fan,2021,0,0
Pride Celebration Fan,2022,0,0
Pride Celebration Fan,2023,0,0
Pride Celebration Fan,2024,0,0
Pride Celebration Fan,2025,67,100
Pride Fan,2016,0,0
Pride Fan,2017,0,0
Pride Fan,2018,0,0
Pride Fan,2019,0,0
Pride Fan,2020,0,0
Pride Fan,2021,0,0
Pride Fan,2022,234,73.35423197492163
Pride Fan,2023,170,53.29153605015674
Pride Fan,2024,319,100
Pride Fan,2025,227,71.15987460815047
Pride Flag,2016,0,0
Pride Flag,2017,0,0
Pride Flag,2018,19,2.6912181303116145
Pride Flag,2019,75,10.623229461756374
Pride Flag,2020,33,4.674220963172805
Pride Flag,2021,257,36.40226628895184
Pride Flag,2022,706,100
Pride Flag,2023,533,75.4957507082153
Pride Flag,2024,457,64.73087818696884
Pride Flag,2025,240,33.994334277620396
Pride Giveaway,2016,0,0
Pride Giveaway,2017,0,0
Pride Giveaway,2018,0,0
Pride Giveaway,2019,0,0
Pride Giveaway,2020,0,0
Pride Giveaway,2021,0,0
Pride Giveaway,2022,0,0
Pride Giveaway,2023,0,0
Pride Giveaway,2024,253,100
Pride Giveaway,2025,0,0
Pride Hand Fans,2016,0,0
Pride Hand Fans,2017,0,0
Pride Hand Fans,2018,0,0
Pride Hand Fans,2019,0,0
Pride Hand Fans,2020,0,0
Pride Hand Fans,2021,0,0
Pride Hand Fans,2022,0,0
Pride Hand Fans,2023,116,100
Pride Hand Fans,2024,0,0
Pride Hand Fans,2025,38,32.758620689655174
Pride Headbands,2016,0,NA
Pride Headbands,2017,0,NA
Pride Headbands,2018,0,NA
Pride Headbands,2019,0,NA
Pride Headbands,2020,0,NA
Pride Headbands,2021,0,NA
Pride Headbands,2022,0,NA
Pride Headbands,2023,0,NA
Pride Headbands,2024,0,NA
Pride Headbands,2025,0,NA
Pride Items,2016,0,0
Pride Items,2017,0,0
Pride Items,2018,0,0
Pride Items,2019,0,0
Pride Items,2020,77,90.58823529411765
Pride Items,2021,40,47.05882352941176
Pride Items,2022,85,100
Pride Items,2023,83,97.6470588235294
Pride Items,2024,0,0
Pride Items,2025,61,71.76470588235294
Pride Month,2016,0,0
Pride Month,2017,0,0
Pride Month,2018,0,0
Pride Month,2019,0,0
Pride Month,2020,13,2.631578947368421
Pride Month,2021,149,30.16194331983806
Pride Month,2022,124,25.101214574898783
Pride Month,2023,0,0
Pride Month,2024,494,100
Pride Month,2025,77,15.587044534412955
Pride Pen,2016,0,0
Pride Pen,2017,0,0
Pride Pen,2018,0,0
Pride Pen,2019,0,0
Pride Pen,2020,0,0
Pride Pen,2021,0,0
Pride Pen,2022,0,0
Pride Pen,2023,0,0
Pride Pen,2024,0,0
Pride Pen,2025,35,100
Pride Pins,2016,0,0
Pride Pins,2017,0,0
Pride Pins,2018,0,0
Pride Pins,2019,0,0
Pride Pins,2020,0,0
Pride Pins,2021,0,0
Pride Pins,2022,0,0
Pride Pins,2023,0,0
Pride Pins,2024,0,0
Pride Pins,2025,39,100
Pride Rainbow,2016,0,0
Pride Rainbow,2017,0,0
Pride Rainbow,2018,0,0
Pride Rainbow,2019,0,0
Pride Rainbow,2020,0,0
Pride Rainbow,2021,0,0
Pride Rainbow,2022,424,100
Pride Rainbow,2023,0,0
Pride Rainbow,2024,0,0
Pride Rainbow,2025,0,0
Pride Slides,2016,0,NA
Pride Slides,2017,0,NA
Pride Slides,2018,0,NA
Pride Slides,2019,0,NA
Pride Slides,2020,0,NA
Pride Slides,2021,0,NA
Pride Slides,2022,0,NA
Pride Slides,2023,0,NA
Pride Slides,2024,0,NA
Pride Slides,2025,0,NA
Pride Sunglasses,2016,0,0
Pride Sunglasses,2017,0,0
Pride Sunglasses,2018,0,0
Pride Sunglasses,2019,0,0
Pride Sunglasses,2020,0,0
Pride Sunglasses,2021,0,0
Pride Sunglasses,2022,330,100
Pride Sunglasses,2023,225,68.18181818181817
Pride Sunglasses,2024,184,55.757575757575765
Pride Sunglasses,2025,43,13.030303030303031
Pride Wrist Strap,2016,0,0
Pride Wrist Strap,2017,0,0
Pride Wrist Strap,2018,0,0
Pride Wrist Strap,2019,0,0
Pride Wrist Strap,2020,0,0
Pride Wrist Strap,2021,0,0
Pride Wrist Strap,2022,0,0
Pride Wrist Strap,2023,0,0
Pride Wrist Strap,2024,0,0
Pride Wrist Strap,2025,72,100
Rainbow Gay Pride,2016,0,0
Rainbow Gay Pride,2017,0,0
Rainbow Gay Pride,2018,32,30.76923076923077
Rainbow Gay Pride,2019,0,0
Rainbow Gay Pride,2020,104,100
Rainbow Gay Pride,2021,0,0
Rainbow Gay Pride,2022,0,0
Rainbow Gay Pride,2023,0,0
Rainbow Gay Pride,2024,0,0
Rainbow Gay Pride,2025,0,0
Rainbow Pride,2016,0,0
Rainbow Pride,2017,0,0
Rainbow Pride,2018,42,4.646017699115045
Rainbow Pride,2019,904,100
Rainbow Pride,2020,17,1.8805309734513276
Rainbow Pride,2021,402,44.469026548672566
Rainbow Pride,2022,52,5.752212389380531
Rainbow Pride,2023,877,97.01327433628319
Rainbow Pride,2024,57,6.3053097345132745
Rainbow Pride,2025,49,5.420353982300885
Trans Pride Coffee,2016,0,0
Trans Pride Coffee,2017,0,0
Trans Pride Coffee,2018,0,0
Trans Pride Coffee,2019,0,0
Trans Pride Coffee,2020,168,100
Trans Pride Coffee,2021,0,0
Trans Pride Coffee,2022,0,0
Trans Pride Coffee,2023,0,0
Trans Pride Coffee,2024,0,0
Trans Pride Coffee,2025,0,0
